# eig-val-1         ||eig-vec-1||       eig-val-2           ||eig-vec-2||
# [THz]                                 [THz]                
0                   3264                0                   3264
0                   0                   0                   0
0                   0                   0                   0
0                   0                   0                   0
0                   0                   0                   0
0                   0                   0                   0
2.21623             0                   2.21623             0
2.29375             0                   2.29374             0
2.40399             0                   2.40399             0
2.5347              0                   2.5347              0
2.68375             0                   2.68374             0
2.78349             0                   2.78349             0
2.86462             0                   2.86461             0
3.23546             0                   3.23546             0
3.45913             0                   3.45913             0
3.53663             0                   3.53663             0
3.65563             0                   3.65563             0
3.6648              0                   3.6648              0
3.73591             0                   3.73591             0
3.784               0                   3.78399             0
3.86251             0                   3.86251             0
3.98071             0                   3.9807              0
4.02226             0                   4.02226             0
4.08843             0                   4.08843             0
4.14452             0                   4.14451             0
4.19                0                   4.19                0
4.27168             0                   4.27169             0
4.42032             0                   4.42031             0
4.6841              0                   4.6841              0
4.75225             0                   4.75225             0
4.78291             0                   4.7829              0
4.87952             0                   4.87951             0
4.91989             1.73205             4.91988             1.73205
4.99695             1.41421             4.99695             1.41431
5.12028             1.73205             5.12027             1.73205
5.18962             1.73205             5.18962             1.73205
5.21829             1.73205             5.21828             1.73205
5.25904             1.73205             5.25904             1.73205
5.28583             1.73205             5.28583             1.73205
5.36684             1.73205             5.36683             1.73205
5.47157             1.73205             5.47158             1.73205
5.55344             1.73205             5.55344             1.73205
5.59746             1.73205             5.59746             1.73205
5.65974             1.73204             5.65973             1.73204
5.73445             1.73205             5.73445             1.73205
5.78064             1.73205             5.78063             1.73205
5.96986             1.73205             5.96987             1.73205
6.01091             1.73205             6.01091             1.73205
6.15294             1.73205             6.15294             1.73205
6.19703             1.73205             6.19703             1.73205
6.23399             1.73205             6.23398             1.73205
6.38449             1.73205             6.38449             1.73205
6.42077             1.73205             6.42078             1.73205
6.49029             1.73202             6.49029             1.73202
6.55574             1.73205             6.55575             1.73205
6.58661             1.73205             6.58662             1.73205
6.73503             1.73205             6.73504             1.73205
6.81379             1.73205             6.81379             1.73205
6.86002             1.73205             6.86002             1.73205
6.9648              1.73205             6.9648              1.73205
7.02312             1.73108             7.02312             1.73108
7.14332             1.73205             7.14331             1.73205
7.2713              1.73204             7.27131             1.73204
7.35734             1                   7.35733             1
7.37587             0.000931658         7.37587             2.80862e-09
7.41982             1                   7.41983             0.999858
7.54663             4.18595e-05         7.54663             4.19396e-05
7.66953             6.13745e-07         7.66953             6.14706e-07
7.72282             1.41092e-05         7.72283             1.41165e-05
7.88675             2.74639e-05         7.88674             2.78819e-05
8.04066             8.68844e-07         8.04065             8.69628e-07
8.2176              4.45366e-06         8.2176              4.46708e-06
8.48173             9.01331e-05         8.48173             9.05289e-05
8.76111             6.95458e-06         8.76111             6.94008e-06
8.86874             4.03667e-05         8.86873             4.02963e-05
9.09217             0.0047132           9.09218             0.00471755
9.26887             0.000115123         9.26887             0.00011494
9.79314             0.000292102         9.79314             0.000292482
9.93165             3.80575e-05         9.93164             3.81717e-05
10.0361             1.56109e-05         10.0361             1.55829e-05
10.4626             3.59315e-07         10.4626             3.64039e-07
10.5535             7.06108e-06         10.5535             7.06302e-06
10.6308             1.1358e-08          10.6308             1.13946e-08
10.7739             0.000221684         10.7739             0.000221581
11.0087             1.83365e-07         11.0087             1.83394e-07
11.5242             0.0101562           11.5242             0.0101458
11.6034             0.00398649          11.6034             0.00398517
11.6561             1.1708e-05          11.6561             1.17096e-05
12.2059             4.62323e-05         12.2059             4.62236e-05
12.6037             0.00425628          12.6036             0.00425564
13.3724             3.95508e-07         13.3724             3.95533e-07
13.519              8.95857e-05         13.519              8.95861e-05
13.8283             0.0580459           13.8283             0.0580416
14.3966             0.00462358          14.3966             0.00462551
15.2259             2.73747e-05         15.2259             2.73617e-05
15.9353             1                   15.9353             1
